Date,AAPL,AMZN,FB,GOOG,NFLX
2012-10-31,18.41992950439453,232.88999938964844,21.110000610351562,338.8797912597656,11.319999694824219
2012-11-01,18.457687377929688,232.13999938964844,21.209999084472656,342.51116943359375,11.09857177734375
2012-11-02,17.846906661987305,232.4199981689453,21.18000030517578,342.6755676269531,10.985713958740234
2012-11-05,18.0888671875,234.3300018310547,21.25,340.204833984375,11.177143096923828
2012-11-06,18.03409767150879,237.55999755859375,21.170000076293945,339.587158203125,10.90999984741211
2012-11-07,17.344066619873047,232.05999755859375,20.469999313354492,332.31439208984375,11.097143173217773
2012-11-08,16.714641571044922,227.35000610351562,19.989999771118164,324.9270935058594,10.85285758972168
2012-11-09,17.0040225982666,226.30999755859375,19.209999084472656,330.27703857421875,11.128571510314941
2012-11-12,16.872543334960938,226.47000122070312,20.06999969482422,331.7066955566406,11.170000076293945
2012-11-13,16.87472152709961,226.60000610351562,19.860000610351562,328.2944641113281,11.372857093811035
2012-11-14,16.68760108947754,222.9499969482422,22.360000610351562,325.0566101074219,11.39714241027832
2012-11-15,16.337610244750977,220.60000610351562,22.170000076293945,322.4214782714844,11.640000343322754
2012-11-16,16.40163803100586,225.22999572753906,23.559999465942383,322.3816223144531,11.557143211364746
2012-11-19,17.584331512451172,229.7100067138672,22.920000076293945,332.85736083984375,11.622857093811035
2012-11-20,17.434511184692383,233.77999877929688,23.100000381469727,333.73406982421875,11.771428108215332
2012-11-21,17.459074020385742,238.02999877929688,24.31999969482422,331.6917419433594,11.857142448425293
2012-11-23,17.76367950439453,239.8800048828125,24.0,332.7378234863281,11.850000381469727
2012-11-26,18.324094772338867,243.6199951171875,25.940000534057617,329.3405456542969,11.722857475280762
2012-11-27,18.17645263671875,243.39999389648438,26.149999618530273,334.1026916503906,11.868571281433105
2012-11-28,18.1192626953125,247.11000061035156,26.360000610351562,340.5585021972656,11.747142791748047
2012-11-29,18.318811416625977,251.27000427246094,27.31999969482422,344.6531677246094,11.625714302062988
2012-11-30,18.191991806030273,252.0500030517578,28.0,347.88104248046875,11.672857284545898
2012-12-03,18.22028160095215,250.3300018310547,27.040000915527344,346.3268737792969,10.857142448425293
2012-12-04,17.89888572692871,252.49000549316406,27.459999084472656,344.2247619628906,12.378571510314941
2012-12-05,16.746973037719727,253.9600067138672,27.709999084472656,342.6257629394531,11.90999984741211
2012-12-06,17.009614944458008,253.3699951171875,26.969999313354492,344.2745666503906,12.3100004196167
2012-12-07,16.574769973754883,253.27000427246094,27.489999771118164,340.8274841308594,12.282856941223145
2012-12-10,16.468154907226562,247.77000427246094,27.84000015258789,341.43023681640625,12.114285469055176
2012-12-11,16.827777862548828,250.69000244140625,27.979999542236328,347.1388244628906,12.29714298248291
2012-12-12,16.753496170043945,251.75999450683594,27.579999923706055,347.4775695800781,12.96142864227295
2012-12-13,16.464113235473633,251.25,28.239999771118164,350.0379638671875,13.222857475280762
2012-12-14,15.845569610595703,249.19000244140625,26.809999465942383,349.6693420410156,13.328571319580078
2012-12-17,16.126562118530273,253.86000061035156,26.75,359.0442199707031,13.528571128845215
2012-12-18,16.59497833251953,260.3999938964844,27.709999084472656,359.18865966796875,13.662857055664062
2012-12-19,16.35905647277832,257.989990234375,27.40999984741211,358.7104797363281,13.425714492797852
2012-12-20,16.216697692871094,261.5,27.360000610351562,359.8312683105469,13.357142448425293
2012-12-21,16.142099380493164,256.9200134277344,26.260000228881836,356.47882080078125,13.048571586608887
2012-12-24,16.1682071685791,258.6199951171875,26.93000030517578,353.4252624511719,12.890000343322754
2012-12-26,15.945353507995605,248.6300048828125,26.510000228881836,353.1114501953125,12.949999809265137
2012-12-27,16.009374618530273,248.30999755859375,26.049999237060547,351.8262634277344,12.928571701049805
2012-12-28,15.839356422424316,245.17999267578125,25.90999984741211,348.697998046875,12.761428833007812
2012-12-31,16.54120445251465,250.8699951171875,26.6200008392334,352.3692321777344,13.227143287658691
2013-01-02,17.06525230407715,257.30999755859375,28.0,360.27459716796875,13.144286155700684
2013-01-03,16.849853515625,258.4800109863281,27.770000457763672,360.48382568359375,13.798571586608887
2013-01-04,16.380502700805664,259.1499938964844,28.760000228881836,367.60711669921875,13.71142864227295
2013-01-07,16.28414535522461,268.4599914550781,29.420000076293945,366.0031433105469,14.171428680419922
2013-01-08,16.327978134155273,266.3800048828125,29.059999465942383,365.28082275390625,13.880000114440918
2013-01-09,16.072786331176758,266.3500061035156,30.59000015258789,367.68182373046875,13.701428413391113
2013-01-10,16.272029876708984,265.3399963378906,31.299999237060547,369.3555603027344,14.0
2013-01-11,16.172252655029297,267.94000244140625,31.719999313354492,368.61334228515625,14.470000267028809
2013-01-14,15.595674514770508,272.7300109863281,30.950000762939453,360.27459716796875,14.778571128845215
2013-01-15,15.103631973266602,271.8999938964844,30.100000381469727,361.1114807128906,14.527142524719238
2013-01-16,15.73056697845459,268.92999267578125,29.850000381469727,356.2596435546875,13.925714492797852
2013-01-17,15.624578475952148,270.4800109863281,30.139999389648438,354.3318786621094,13.95714282989502
2013-01-18,15.541274070739746,272.1199951171875,29.65999984741211,350.9396057128906,14.167142868041992
2013-01-22,15.689539909362793,270.19000244140625,30.729999542236328,350.1226501464844,13.972857475280762
2013-01-23,15.9767427444458,268.1099853515625,30.81999969482422,369.36553955078125,14.751428604125977
2013-01-24,14.002690315246582,273.4599914550781,31.079999923706055,375.6968078613281,20.979999542236328
2013-01-25,13.672592163085938,283.989990234375,31.540000915527344,375.42779541015625,24.222856521606445
